epoch,accuracy,loss,val_accuracy,val_loss
0,0.9324250221252441,0.36218833923339844,1.0,0.00015410961350426078
1,1.0,0.0008994442760013044,1.0,5.1406503189355135e-05
2,1.0,0.000340550031978637,1.0,2.554455386416521e-05
3,1.0,0.00017419189680367708,1.0,1.4873209693178069e-05
4,1.0,0.000101879944850225,1.0,9.39194615057204e-06
5,1.0,6.454352114815265e-05,1.0,6.1878668020654e-06
0,0.39819249510765076,2.1731114387512207,0.7614200115203857,0.7065460681915283
1,0.861519992351532,0.4190048277378082,0.9414799809455872,0.18368031084537506
2,0.9207299947738647,0.24838398396968842,0.9635400176048279,0.11940845847129822
3,0.943957507610321,0.17662537097930908,0.9441400170326233,0.18668682873249054
4,0.9559624791145325,0.13880687952041626,0.9820399880409241,0.06102683022618294
5,0.9522799849510193,0.1549416333436966,0.9854000210762024,0.0555318184196949
6,0.9659299850463867,0.10750939697027206,0.9818599820137024,0.05909084528684616
7,0.9662550091743469,0.10664466768503189,0.9912199974060059,0.03113291598856449
8,0.9678775072097778,0.10784178227186203,0.9908599853515625,0.03338375687599182
9,0.9703350067138672,0.09310050308704376,0.9840800166130066,0.05221845209598541
10,0.9698050022125244,0.09858398139476776,0.9709200263023376,0.08904945850372314
11,0.9732900261878967,0.08448691666126251,0.9929800033569336,0.02491162344813347
12,0.971702516078949,0.09617673605680466,0.9916399717330933,0.0280842836946249
13,0.9783074855804443,0.06879950314760208,0.9924200177192688,0.026355840265750885
14,0.9771400094032288,0.07173557579517365,0.9898800253868103,0.03254857659339905
15,0.9727550148963928,0.09518555551767349,0.9941800236701965,0.021209046244621277
16,0.9946824908256531,0.01920166239142418,0.9994800090789795,0.0037998214829713106
17,0.9927250146865845,0.024051673710346222,0.9964799880981445,0.011674752458930016
18,0.9898974895477295,0.03148055821657181,0.9950399994850159,0.015358184464275837
19,0.9964475035667419,0.012307772412896156,0.9995800256729126,0.00248265010304749
20,0.9962174892425537,0.012933366000652313,0.9991599917411804,0.003728259354829788
21,0.9953324794769287,0.015345361083745956,0.999239981174469,0.00346813234500587
22,0.9977474808692932,0.008094964548945427,0.9998800158500671,0.0010912386933341622
23,0.9979425072669983,0.007574466522783041,0.9998400211334229,0.001242888974957168
24,0.9978899955749512,0.007626753766089678,0.9998800158500671,0.0010177907533943653
25,0.9977974891662598,0.007655119523406029,0.999779999256134,0.0014302870258688927
26,0.9985899925231934,0.005332617089152336,0.9999399781227112,0.0006734890048392117
27,0.9987199902534485,0.0049672676250338554,0.9998999834060669,0.0007362481555901468
28,0.9986799955368042,0.005025806371122599,0.9999399781227112,0.000543883303180337
29,0.9986075162887573,0.005202966276556253,0.9999200105667114,0.0005975984968245029
30,0.9988849759101868,0.004320430103689432,0.9999799728393555,0.00038959408993832767
31,0.9990425109863281,0.0038123377598822117,0.9999200105667114,0.0004504982498474419
32,0.9990324974060059,0.0038316529244184494,0.9999799728393555,0.00045154968393035233
33,0.9990224838256836,0.0038548018783330917,0.9999799728393555,0.00037662097020074725
34,0.9991549849510193,0.003357825567945838,0.9999600052833557,0.0003530092362780124
35,0.9991750121116638,0.0033874583896249533,0.9999600052833557,0.00036869244650006294
36,0.999287486076355,0.0030946547631174326,0.9999799728393555,0.00030993393738754094
37,0.9991899728775024,0.003272406756877899,0.9999600052833557,0.00036314985482022166
38,0.9992300271987915,0.003118672175332904,0.9999200105667114,0.00040346645982936025
39,0.9993500113487244,0.003014593617990613,0.9999600052833557,0.0003157236205879599
40,0.9993125200271606,0.0030118622817099094,0.9999600052833557,0.00030937400879338384
41,0.9992675185203552,0.0029758233577013016,0.9999799728393555,0.00031726688030175865
42,0.9993100166320801,0.0030037485994398594,0.9999799728393555,0.00029940661625005305
43,0.9993399977684021,0.002783461008220911,1.0,0.00027066448819823563
44,0.9993550181388855,0.002846933202818036,1.0,0.0002620816230773926
45,0.9993100166320801,0.002894853474572301,1.0,0.00026820783386938274
46,0.999382495880127,0.0027202661149203777,0.9999600052833557,0.00026520094252191484
47,0.9993875026702881,0.0027234568260610104,0.9999799728393555,0.0002664081985130906
48,0.9993324875831604,0.002816220745444298,0.9999799728393555,0.00027268141275271773
49,0.9994099736213684,0.002596415812149644,0.9999799728393555,0.0002729262050706893
